lag,mean,count_ratio,max15d_mean
-29,0.023602464550919966,0.5737089201877934,0.09439001652674048
-30,0.023901618458646367,0.5821596244131455,0.09277114944090692
-27,0.021047299974893647,0.571830985915493,0.09275370198814574
-28,0.021990526647517376,0.5943661971830986,0.09147645522103907
-21,0.01966408312688186,0.5842592592592593,0.0904784713535754
-23,0.02119545092471848,0.571830985915493,0.08972823983905252
-22,0.01860467847257399,0.5492957746478874,0.08858565924345765
-25,0.018191788599465852,0.568075117370892,0.08741229294115857
-24,0.01945415427134669,0.564319248826291,0.08606594785686524
-26,0.015300168723981003,0.5455399061032864,0.08585614604709316
-20,0.014078038255135976,0.5462962962962963,0.08185326529277598
-16,0.018377023139948805,0.5685185185185185,0.08088043984508397
-14,0.017009607765003446,0.5925925925925926,0.08018147261485259
-13,0.016187084754987337,0.5851851851851851,0.07909211548763072
-18,0.015052263360989736,0.5453703703703704,0.07843007820068239
-17,0.01681153302414956,0.5731481481481482,0.07785523093913142
-9,0.010278478156832277,0.5601851851851852,0.07717494264309749
-15,0.013378362974386224,0.537962962962963,0.07625212063402212
-6,0.012570131369193252,0.5654596100278552,0.07572922638554812
-1,0.01442997012560125,0.5555555555555556,0.07511929523259805
1,0.0159770143650407,0.6063730084348641,0.07470101504280555
-19,0.008030251014423178,0.524074074074074,0.07457527107231801
-8,0.009306832593771377,0.5579240037071362,0.0742597881654894
0,0.01337881865589795,0.5855940130963517,0.07379200226007179
-12,0.011228559056485603,0.5796296296296296,0.07365548291510032
-10,0.010462607737357806,0.562962962962963,0.07308329828319862
-11,0.011192025765719668,0.5722222222222222,0.07295262215804346
-3,0.011269178537128912,0.5661080074487895,0.07286528810594582
-2,0.013135955076670383,0.5750232991612302,0.07273327281926378
-5,0.008745399736005518,0.5371747211895911,0.07193314387638178
2,0.009413836536203106,0.5408450704225352,0.0715022190499358
3,0.012153904640440104,0.5569143932267169,0.07134336414921055
20,0.015270589887867343,0.561352657004831,0.07083390731002456
-7,0.006701101825236277,0.538961038961039,0.07071012359282877
21,0.013389421794204071,0.5816425120772947,0.07069978537689192
5,0.012638662674794084,0.5259678942398489,0.07062443073099378
22,0.012648066954313681,0.5642512077294686,0.070227508834403
17,0.01167617928542401,0.5578034682080925,0.07018529864949537
19,0.01472845680119105,0.5646718146718147,0.07012065667573465
14,0.010047105511520412,0.5254562920268973,0.06991685802403419
-4,0.008782831343281962,0.5423255813953488,0.06982281335790687
4,0.01176878565295155,0.5570216776625825,0.06968131132295824
15,0.011088198320394526,0.55,0.0692751715733945
18,0.011834362798435999,0.5814850530376084,0.06899154442929314
25,0.009377535016647918,0.5710144927536231,0.0686263461476666
26,0.00920963183150858,0.5545893719806764,0.06821009627611224
24,0.008005743818147277,0.5458937198067633,0.06791083520421147
16,0.010159062368773869,0.519730510105871,0.06787344333851962
11,0.008249932947559371,0.5315487571701721,0.06738962644577165
13,0.007366235575974627,0.5009596928982726,0.06639831630110314
27,0.006200162459830332,0.5541586073500967,0.06602418874098562
8,0.0062846639277633195,0.49429657794676807,0.06574650147572597
23,0.007131945469311723,0.5323671497584541,0.06512397024366817
12,0.006608252589804616,0.5095785440613027,0.06458740717896712
10,0.005577348483879249,0.49427480916030536,0.06405048772281986
7,0.005877556098126628,0.5341555977229602,0.06381772919576617
6,0.00581921049595664,0.5037878787878788,0.06367863582146836
28,-0.001829584846509212,0.4995159728944821,0.058590318965922344
9,-0.002747610409476578,0.43523809523809526,0.0566670965450815
29,-0.0040662285547194066,0.501937984496124,0.0553948301339358
